Region (Hex): 0x18791200000, Region (Decimal): 1681767006208, L2 Misses: 40
Region (Hex): 0x18790600000, Region (Decimal): 1681754423296, L2 Misses: 88
Region (Hex): 0x1878f600000, Region (Decimal): 1681737646080, L2 Misses: 75
Region (Hex): 0x187a7000000, Region (Decimal): 1682134007808, L2 Misses: 91
Region (Hex): 0x187a9c00000, Region (Decimal): 1682180145152, L2 Misses: 102
Region (Hex): 0x18799000000, Region (Decimal): 1681899126784, L2 Misses: 149
Region (Hex): 0x187adc00000, Region (Decimal): 1682247254016, L2 Misses: 212
Region (Hex): 0x18794e00000, Region (Decimal): 1681829920768, L2 Misses: 29
Region (Hex): 0x1879c800000, Region (Decimal): 1681957847040, L2 Misses: 81
Region (Hex): 0x187b2c00000, Region (Decimal): 1682331140096, L2 Misses: 91
Region (Hex): 0x187a0c00000, Region (Decimal): 1682029150208, L2 Misses: 156
Region (Hex): 0x18782c00000, Region (Decimal): 1681525833728, L2 Misses: 1149
Region (Hex): 0x187ab600000, Region (Decimal): 1682207408128, L2 Misses: 116
Region (Hex): 0x187a1e00000, Region (Decimal): 1682048024576, L2 Misses: 1504
Region (Hex): 0x187bfe00000, Region (Decimal): 1682551341056, L2 Misses: 1000
Region (Hex): 0x18794800000, Region (Decimal): 1681823629312, L2 Misses: 180
Region (Hex): 0x18789000000, Region (Decimal): 1681630691328, L2 Misses: 106
Region (Hex): 0x1879f200000, Region (Decimal): 1682001887232, L2 Misses: 124
Region (Hex): 0x187ba000000, Region (Decimal): 1682452774912, L2 Misses: 254
Region (Hex): 0x187bf800000, Region (Decimal): 1682545049600, L2 Misses: 238
Region (Hex): 0x18799600000, Region (Decimal): 1681905418240, L2 Misses: 95
Region (Hex): 0x187b8400000, Region (Decimal): 1682423414784, L2 Misses: 213
Region (Hex): 0x18787e00000, Region (Decimal): 1681611816960, L2 Misses: 944
Region (Hex): 0x187a2a00000, Region (Decimal): 1682060607488, L2 Misses: 229
Region (Hex): 0x187b1400000, Region (Decimal): 1682305974272, L2 Misses: 1583
Region (Hex): 0x1879a600000, Region (Decimal): 1681922195456, L2 Misses: 116
Region (Hex): 0x187afa00000, Region (Decimal): 1682278711296, L2 Misses: 131
Region (Hex): 0x18781400000, Region (Decimal): 1681500667904, L2 Misses: 100
Region (Hex): 0x187be400000, Region (Decimal): 1682524078080, L2 Misses: 155
Region (Hex): 0x18785e00000, Region (Decimal): 1681578262528, L2 Misses: 96
Region (Hex): 0x18799e00000, Region (Decimal): 1681913806848, L2 Misses: 134
Region (Hex): 0x1878ac00000, Region (Decimal): 1681660051456, L2 Misses: 112
Region (Hex): 0x187b9c00000, Region (Decimal): 1682448580608, L2 Misses: 82
Region (Hex): 0x187ba600000, Region (Decimal): 1682459066368, L2 Misses: 217
Region (Hex): 0x1878c800000, Region (Decimal): 1681689411584, L2 Misses: 157
Region (Hex): 0x18791e00000, Region (Decimal): 1681779589120, L2 Misses: 96
Region (Hex): 0x18790800000, Region (Decimal): 1681756520448, L2 Misses: 149
Region (Hex): 0x18783200000, Region (Decimal): 1681532125184, L2 Misses: 225
Region (Hex): 0x18785400000, Region (Decimal): 1681567776768, L2 Misses: 148
Region (Hex): 0x187b8e00000, Region (Decimal): 1682433900544, L2 Misses: 88
Region (Hex): 0x187ae400000, Region (Decimal): 1682255642624, L2 Misses: 110
Region (Hex): 0x1878d400000, Region (Decimal): 1681701994496, L2 Misses: 263
Region (Hex): 0x187b4a00000, Region (Decimal): 1682362597376, L2 Misses: 166
Region (Hex): 0x187a3e00000, Region (Decimal): 1682081579008, L2 Misses: 78
Region (Hex): 0x187b4200000, Region (Decimal): 1682354208768, L2 Misses: 196
Region (Hex): 0x187a3400000, Region (Decimal): 1682071093248, L2 Misses: 211
Region (Hex): 0x187b6e00000, Region (Decimal): 1682400346112, L2 Misses: 166
Region (Hex): 0x187b6600000, Region (Decimal): 1682391957504, L2 Misses: 186
Region (Hex): 0x187bc200000, Region (Decimal): 1682488426496, L2 Misses: 163
Region (Hex): 0x187ac600000, Region (Decimal): 1682224185344, L2 Misses: 91
Region (Hex): 0x1878ae00000, Region (Decimal): 1681662148608, L2 Misses: 107
Region (Hex): 0x18796000000, Region (Decimal): 1681848795136, L2 Misses: 103
Region (Hex): 0x187a5e00000, Region (Decimal): 1682115133440, L2 Misses: 276
Region (Hex): 0x187a8000000, Region (Decimal): 1682150785024, L2 Misses: 66
Region (Hex): 0x187a8400000, Region (Decimal): 1682154979328, L2 Misses: 99
